created_at;field6
2021-10-10T00:00:00+0200;9.9
2021-10-11T00:00:00+0200;9.9
2021-10-12T00:00:00+0200;9.9
2021-10-13T00:00:00+0200;9.9
2021-10-14T00:00:00+0200;9.9
2021-10-15T00:00:00+0200;9.9
2021-10-16T00:00:00+0200;9.9
2021-10-17T00:00:00+0200;9.9
2021-10-18T00:00:00+0200;9.9
2021-10-19T00:00:00+0200;9.9
2021-10-20T00:00:00+0200;9.9
2021-10-21T00:00:00+0200;9.9
2021-10-22T00:00:00+0200;9.9
2021-10-23T00:00:00+0200;9.9
2021-10-24T00:00:00+0200;9.9
2021-10-25T00:00:00+0200;9.9
2021-10-26T00:00:00+0200;9.9
2021-10-27T00:00:00+0200;9.9
2021-10-28T00:00:00+0200;9.9
2021-10-29T00:00:00+0200;9.9
2021-10-30T00:00:00+0200;8.9
2021-10-31T00:00:00+0100;9.9
2021-11-01T00:00:00+0100;9.9
2021-11-02T00:00:00+0100;9.9
2021-11-03T00:00:00+0100;9.6
2021-11-04T00:00:00+0100;8.6
2021-11-05T00:00:00+0100;9.9
2021-11-06T00:00:00+0100;9.9
2021-11-07T00:00:00+0100;9.8
2021-11-08T00:00:00+0100;9.9
2021-11-09T00:00:00+0100;9.9
2021-11-10T00:00:00+0100;9.2
2021-11-11T00:00:00+0100;3.9
2021-11-12T00:00:00+0100;3.1
2021-11-13T00:00:00+0100;6.4
2021-11-14T00:00:00+0100;10.3
2021-11-15T00:00:00+0100;8.4
2021-11-16T00:00:00+0100;6.7
2021-11-17T00:00:00+0100;7.4
2021-11-18T00:00:00+0100;9.6
2021-11-19T00:00:00+0100;9.9
2021-11-20T00:00:00+0100;9.9
2021-11-21T00:00:00+0100;7.5
2021-11-22T00:00:00+0100;8.2
2021-11-23T00:00:00+0100;8.2
2021-11-24T00:00:00+0100;9.9
2021-11-25T00:00:00+0100;3.7
2021-11-26T00:00:00+0100;4.9
2021-11-27T00:00:00+0100;4.7
2021-11-28T00:00:00+0100;4.3
2021-11-29T00:00:00+0100;2.8
2021-11-30T00:00:00+0100;6.2
2021-12-01T00:00:00+0100;8.7
2021-12-02T00:00:00+0100;6.3
